Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-07-11,2330.93,2410.0,2265.0,2310.01,15670.5506472,36775527.8882,2346.79231866
2017-07-12,2310.0,2415.0,2250.0,2383.42,13834.4719746,32373525.1544,2340.0622166
2017-07-13,2384.35,2416.79,2308.14,2340.0,9541.53943311,22504373.7193,2358.56843406
2017-07-14,2340.0,2349.28,2150.0,2217.24,13549.1778099,30493567.1141,2250.58431898
2017-07-15,2217.02,2224.82,1964.31,1964.31,16334.6886472,33809964.1512,2069.82605432
2017-07-16,1964.33,2043.94,1758.2,1911.78,21740.8927403,41537696.5635,1910.5791588
2017-07-17,1911.79,2238.07,1909.58,2235.19,21436.7645371,44429350.5597,2072.5772531
2017-07-18,2235.14,2393.43,2134.37,2308.15,23795.5941425,54434483.2246,2287.58663888
2017-07-19,2307.48,2396.0,2216.0,2258.99,18567.4761125,42665282.3168,2297.85039486
2017-07-20,2258.99,2957.0,2258.99,2873.48,36509.3058742,95449620.179,2614.39153371
2017-07-21,2873.45,2880.0,2608.27,2657.45,23062.1854295,62824086.6641,2724.11679527
2017-07-22,2661.05,2869.88,2646.95,2825.27,12225.6176368,34067830.3434,2786.59380291
2017-07-23,2825.27,2848.0,2691.0,2754.28,10194.9747502,28293306.2137,2775.22082271
2017-07-24,2755.19,2799.2,2726.8,2762.26,8105.64511248,22360155.8826,2758.59053441
2017-07-25,2761.68,2782.44,2449.69,2564.0,19195.8226074,49815220.1917,2595.1073424
2017-07-26,2564.0,2614.0,2403.0,2525.99,13019.0345414,32485729.2087,2495.2487149
2017-07-27,2525.98,2686.2,2514.1,2664.99,10034.5270657,25897539.563,2580.8430625
2017-07-28,2664.99,2825.11,2655.55,2786.07,17189.246742,47197268.7773,2745.7438645
2017-07-29,2786.07,2790.99,2656.0,2700.21,9860.13224068,26775438.2937,2715.5252729
2017-07-30,2700.2,2739.98,2500.0,2723.99,8460.182768,22594318.8123,2670.66556739
2017-07-31,2723.99,2900.0,2700.0,2856.88,11462.1802407,31947433.2773,2787.20388324
2017-08-01,2856.89,2925.0,2676.01,2732.59,9772.96947501,27342888.5676,2797.80763028
2017-08-02,2731.6,2758.06,2650.0,2699.9,8422.27537735,22814724.1808,2708.85516783
2017-08-03,2699.9,2799.0,2699.89,2787.02,7425.95745626,20433851.1548,2751.67899563
2017-08-04,2787.05,2877.79,2760.0,2857.34,7714.98047973,21825342.4545,2828.95627693
2017-08-05,2857.34,3335.0,2857.34,3243.49,21614.6006112,67979785.0298,3145.0863355
2017-08-06,3243.5,3278.42,3150.0,3222.22,8666.20078218,27929636.5345,3222.82361515
2017-08-07,3222.22,3416.0,3190.0,3398.23,11325.4162028,37838095.0444,3340.98936117
2017-08-08,3398.23,3489.0,3349.91,3422.43,16014.0063827,54756710.0351,3419.30112469
2017-08-09,3423.28,3428.29,3232.62,3342.8,13076.1462708,43643606.8773,3337.65055649
2017-08-10,3342.8,3448.0,3317.0,3444.98,9348.35914865,31829329.681,3404.80389926
2017-08-11,3444.98,3725.0,3416.86,3656.15,15315.7523613,54391342.9614,3551.33340357
2017-08-12,3656.14,3974.0,3622.87,3874.0,18972.1433559,72226485.8106,3806.97554597
2017-08-13,3874.0,4200.0,3850.0,4060.47,23522.1419857,94871177.4754,4033.27118479
2017-08-14,4060.47,4328.0,3985.01,4320.6,20059.9619684,84519281.799,4213.33210562
